Crop,Nitrogen,Phosphorus,Potassium,Rainfall,Yield
Soybean,82,70,34,171,3705
Cotton,115,57,61,100,2676
Sugarcane,71,28,62,196,2627
Soybean,115,13,32,70,1481
Maize,23,44,25,54,2391
Millet,113,73,66,259,5517
Sugarcane,42,58,48,141,2824
Sugarcane,34,26,62,219,2030
Soybean,62,53,51,110,3820
Wheat,48,39,67,71,1910
Maize,55,55,48,198,2848
Soybean,32,15,23,119,1564
Maize,51,46,14,50,1932
Maize,90,33,44,182,3417
Millet,78,55,27,282,3851
Sugarcane,105,62,18,61,2731
Cotton,47,69,67,139,3232
Millet,85,72,26,95,2779
Millet,61,41,16,83,2271
Maize,64,42,55,226,3392
Barley,81,76,22,127,3363
Sugarcane,76,27,49,267,3607
Wheat,25,34,51,94,1541
Millet,47,63,18,204,2890
Cotton,47,67,59,122,3035
Barley,63,76,36,75,1946
Barley,103,55,75,298,4307
Wheat,49,33,14,96,2055
Millet,81,41,38,170,3791
Cotton,94,56,46,263,4269
Sugarcane,111,32,47,288,4845
Rice,108,75,17,105,3015
Cotton,81,36,74,143,3227
Wheat,116,11,26,156,3314
Barley,20,26,54,112,548
Sugarcane,46,42,13,97,2564
Cotton,81,18,45,110,1500
Rice,96,52,79,130,4002
Rice,22,57,40,75,2132
Maize,89,48,28,85,1446
Maize,91,51,70,50,1782
Soybean,46,35,63,57,2741
Wheat,28,59,48,162,3025
Millet,81,34,28,148,2202
Cotton,56,33,48,229,2420
Cotton,116,22,76,256,4300
Millet,70,69,54,96,2891
Soybean,63,16,22,176,2764
Barley,43,66,67,105,2871
Barley,98,45,29,263,4406
Soybean,78,54,70,63,3318
Barley,51,29,48,267,3288
Maize,115,74,10,77,2921
Cotton,107,17,12,264,3036
Soybean,71,25,71,127,2684
Cotton,81,23,72,265,4456
Millet,77,24,34,179,2474
Rice,71,75,65,158,3535
Maize,31,41,42,203,1269
Sugarcane,58,72,47,63,2856
Maize,21,60,15,236,3493
Soybean,22,34,67,105,1466
Sugarcane,75,67,53,164,4866
Rice,100,72,54,56,3275
Soybean,78,71,41,52,1405
Wheat,21,31,54,160,1834
Cotton,21,67,70,200,3484
Rice,111,67,56,287,5463
Cotton,73,58,30,156,3230
Barley,106,61,45,288,4995
Wheat,115,51,28,286,3458
Wheat,116,79,29,67,2972
Rice,20,24,66,299,1903
Wheat,38,63,27,87,1728
Sugarcane,21,69,56,276,3463
Wheat,72,17,58,164,2790
Cotton,63,62,23,64,2672
Cotton,109,69,24,241,3439
Soybean,51,14,40,266,2225
Cotton,89,77,10,168,3301
Soybean,51,15,63,278,2663
Cotton,87,56,12,77,3132
Sugarcane,74,64,25,251,3069
Millet,94,49,66,88,2850
Soybean,75,61,21,234,3446
Maize,36,25,25,66,1225
Barley,57,22,33,280,2231
Rice,43,39,37,135,1608
Cotton,88,28,17,267,3429
Wheat,117,26,45,175,2712
Millet,89,72,17,93,3532
Cotton,105,28,67,74,2605
Wheat,30,67,69,194,3222
Barley,35,64,59,62,1877
Barley,116,71,37,261,3809
Barley,92,32,50,74,2757
Wheat,78,18,73,117,3226
Cotton,89,21,36,187,2758
Barley,99,10,72,116,2872
Sugarcane,112,67,26,282,4557
Soybean,22,10,42,158,2080
Wheat,39,43,38,195,2436
