Actual,Predicted
2757,2688.336
2731,2805.016
4845,3780.06
3158,4002.006
1968,1902.762
2646,3526.866
4995,4017.644
2795,3121.986
2272,2713.898
4300,3947.868
3484,2981.944
2386,2610.584
3908,3584.752
2225,2585.934
2999,3307.014
3670,3368.452
2474,2699.196
2679,2882.052
3069,3647.354
3230,3089.232
3064,3133.03
3232,3069.518
4272,2717.68
1877,2493.882
1834,1683.426
3493,2227.032
3446,3523.114
5463,4211.71
1415,2493.138
3489,1968.758
1910,2768.87
2271,2242.608
4456,3377.494
2790,2730.006
3694,2865.964
2014,2143.086
1100,2861.06
1831,1738.024
3640,2833.116
2672,2354.81
