Actual,Predicted
2757,2553.9314605483364
2731,2885.2600202668823
4845,3682.43383244256
3158,3942.2781903483883
1968,2106.921633500976
2646,3410.760336890887
4995,3946.4375321933967
2795,3097.753161704704
2272,2695.9144901127506
4300,3803.20162322253
3484,3024.301292699784
2386,2863.9396843995623
3908,3410.392573519002
2225,2655.677011863956
2999,3161.133358808678
3670,3182.3437241812862
2474,2913.224791147492
2679,2855.8534672422147
3069,3713.7240608066604
3230,3176.8243806010523
3064,3201.331546466666
3232,3018.6902779191396
4272,2579.7308569796137
1877,2452.0334538144875
1834,2268.747170308443
3493,2502.082805282142
3446,3459.5421236500256
5463,4038.809198081005
1415,2931.289317119559
3489,2336.086465215821
1910,2719.5551551990225
2271,2578.251444789604
4456,3289.857181032944
2790,2923.7912468460595
3694,2767.357404923987
2014,2267.26874808091
1100,3009.1406654485
1831,2174.8127776215615
3640,3016.187090761783
2672,2505.121965979251
