Actual,Predicted
2757,2428.2792716444524
2731,2845.74784564594
4845,3991.0669311576958
3158,4003.367058168073
1968,1894.062336303143
2646,3470.4958822734816
4995,4083.9507425543216
2795,3143.2500038224894
2272,2802.246107983084
4300,4008.7050990821217
3484,3028.6073786463135
2386,2174.779142282361
3908,3551.549970803502
2225,2717.4678862394962
2999,3550.4244358553747
3670,3172.950795725142
2474,2742.330270554981
2679,2707.5024984332326
3069,3517.1566190723306
3230,2913.813969792835
3064,3290.908819149741
3232,3058.6091992120196
4272,3053.66391139793
1877,2167.9531035340297
1834,2148.4002015567166
3493,2207.926508282084
3446,3341.665527835874
5463,4530.893163132084
1415,2531.2505820060346
3489,2341.2232779987735
1910,2317.2627103627347
2271,2074.242973163395
4456,3553.46464424659
2790,2696.772692340013
3694,3096.7761397157233
2014,2175.6597492645915
1100,2914.148478408393
1831,1643.352723893461
3640,2909.436995123222
2672,2283.510309695117
